,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.573,-0.0282,-0.4598,-0.9392,-0.745,-0.957,-0.5406,-1.0,-0.9744,-0.9558,-0.9426,-0.9786,-0.6316,-0.2052,-0.9498,-0.944,-0.9648,-0.308,-0.987,-0.9868,-0.9508
1,-0.573,0.0,-1.0,-0.999,-0.9198,-0.9388,-0.999,-0.9998,-0.924,-0.9262,-0.9326,-0.9974,-0.9974,-1.0,0.9069,0.063,0.076,-0.0764,-0.9112,-0.5436,-0.4486,-0.198
2,0.0282,1.0,0.0,-0.0352,-0.9578,-0.4011,0.1043,0.7712,-0.9574,-0.9598,-0.9568,0.0664,-0.2172,-0.4269,0.0544,-0.9972,-0.9954,-0.9928,0.586,-0.5506,-0.5672,-0.2062
3,0.4598,0.999,0.0352,0.0,0.0642,-0.5206,0.1727,0.3591,0.1716,0.3178,0.1508,-0.4996,-0.4914,-0.2399,0.999,-0.4836,-0.6548,-0.6652,0.1199,-0.9604,-0.9794,-0.9954
4,0.9392,0.9198,0.9578,-0.0642,0.0,-0.385,0.9706,1.0,0.1696,-0.0321,-0.0192,-0.2692,-0.1404,0.9974,1.0,-0.4922,-0.6628,-0.6606,-0.9706,-0.964,-0.9772,-0.9974
5,0.745,0.9388,0.4011,0.5206,0.385,0.0,0.5045,-0.9638,0.4962,0.5828,0.4882,-0.1902,-0.1746,-0.6762,0.8701,-0.1486,-0.3808,-0.3868,0.258,-0.9078,-0.9272,-0.9886
6,0.957,0.999,-0.1043,-0.1727,-0.9706,-0.5045,0.0,0.1664,-0.9564,-0.9424,-0.959,-0.9962,-0.9952,-0.6949,0.9801,-0.995,-0.9974,-0.9978,0.016,-1.0,-1.0,-1.0
7,0.5406,0.9998,-0.7712,-0.3591,-1.0,0.9638,-0.1664,0.0,-1.0,-0.9998,-1.0,-0.941,-0.9734,-0.0962,0.9608,-0.9468,-0.9422,-0.9614,0.9987,-0.9886,-0.9812,-0.9566
8,1.0,0.924,0.9574,-0.1716,-0.1696,-0.4962,0.9564,1.0,0.0,0.0486,-0.0452,-0.6831,-0.6845,0.9974,0.9602,-0.5372,-0.5833,-0.5693,-0.9844,-0.2254,-0.1959,-0.0931
9,0.9744,0.9262,0.9598,-0.3178,0.0321,-0.5828,0.9424,0.9998,-0.0486,0.0,0.0136,-0.4256,-0.2953,0.996,1.0,-0.6556,-0.7884,-0.7882,-0.99,-0.984,-0.9892,-0.9976
10,0.9558,0.9326,0.9568,-0.1508,0.0192,-0.4882,0.959,1.0,0.0452,-0.0136,0.0,-0.3445,-0.2162,0.9974,1.0,-0.5908,-0.737,-0.7342,-0.986,-0.9764,-0.9844,-0.9984
11,0.9426,0.9974,-0.0664,0.4996,0.2692,0.1902,0.9962,0.941,0.6831,0.4256,0.3445,0.0,-0.0109,0.6086,1.0,0.0415,-0.1518,-0.1668,-0.869,-0.4314,-0.4626,-0.2482
12,0.9786,0.9974,0.2172,0.4914,0.1404,0.1746,0.9952,0.9734,0.6845,0.2953,0.2162,0.0109,0.0,0.7676,1.0,0.0666,-0.1608,-0.1658,-0.8644,-0.2193,-0.2562,0.0248
13,0.6316,1.0,0.4269,0.2399,-0.9974,0.6762,0.6949,0.0962,-0.9974,-0.996,-0.9974,-0.6086,-0.7676,0.0,0.9794,-0.998,-0.9988,-0.9988,0.9514,-0.9168,-0.9058,-0.7656
14,0.2052,-0.9069,-0.0544,-0.999,-1.0,-0.8701,-0.9801,-0.9608,-0.9602,-1.0,-1.0,-1.0,-1.0,-0.9794,0.0,0.0778,0.0676,-0.059,0.8458,-0.5638,-0.4552,-0.209
15,0.9498,-0.063,0.9972,0.4836,0.4922,0.1486,0.995,0.9468,0.5372,0.6556,0.5908,-0.0415,-0.0666,0.998,-0.0778,0.0,-0.1132,-0.1223,-0.8736,-0.6585,-0.6477,-0.6403
16,0.944,-0.076,0.9954,0.6548,0.6628,0.3808,0.9974,0.9422,0.5833,0.7884,0.737,0.1518,0.1608,0.9988,-0.0676,0.1132,0.0,-0.0091,-0.7696,-0.566,-0.5815,-0.6153
17,0.9648,0.0764,0.9928,0.6652,0.6606,0.3868,0.9978,0.9614,0.5693,0.7882,0.7342,0.1668,0.1658,0.9988,0.059,0.1223,0.0091,0.0,-0.7682,-0.5242,-0.5368,-0.5491
18,0.308,0.9112,-0.586,-0.1199,0.9706,-0.258,-0.016,-0.9987,0.9844,0.99,0.986,0.869,0.8644,-0.9514,-0.8458,0.8736,0.7696,0.7682,0.0,0.0652,-0.054,-0.5588
19,0.987,0.5436,0.5506,0.9604,0.964,0.9078,1.0,0.9886,0.2254,0.984,0.9764,0.4314,0.2193,0.9168,0.5638,0.6585,0.566,0.5242,-0.0652,0.0,-0.055,-0.2464
20,0.9868,0.4486,0.5672,0.9794,0.9772,0.9272,1.0,0.9812,0.1959,0.9892,0.9844,0.4626,0.2562,0.9058,0.4552,0.6477,0.5815,0.5368,0.054,0.055,0.0,-0.2201
21,0.9508,0.198,0.2062,0.9954,0.9974,0.9886,1.0,0.9566,0.0931,0.9976,0.9984,0.2482,-0.0248,0.7656,0.209,0.6403,0.6153,0.5491,0.5588,0.2464,0.2201,0.0
