,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,23.1859,23.8313,17.5679,3.6653,14.3766,15.9089,18.1064,0.0056,3.3513,3.5207,1.7692,1.2956,16.8156,18.471,0.8789,0.8294,0.5199,18.6861,0.1466,0.2366,0.7534,0.6929,0.706,10.232,11.8867,15.4537,52.3799,1.6375,4.3483,0.1528,1.1264,8.2002,55.0,54.5824,5.8117
1,17.0698,0.0,25.0,12.8191,1.7403,6.0583,11.8978,23.5894,0.8142,1.6499,1.6444,1.0276,1.024,24.9744,21.4209,11.5871,11.5123,10.0004,13.089,4.8338,5.7669,8.6253,3.1621,3.2965,8.9952,8.9154,23.2783,19.634,18.3809,1.0069,5.316,5.1897,6.006,7.0301,4.1964,1.2836
2,23.6648,30.0,0.0,21.3808,2.5248,16.7274,21.7596,27.691,0.5886,2.6256,2.5372,13.76,10.0976,14.5784,23.3326,0.0322,0.0936,0.1426,26.5008,6.6206,6.4764,11.8202,11.8936,11.7784,12.968,28.4462,28.2708,20.2936,17.6856,11.139,5.8024,6.4844,6.6818,7.7916,5.6798,2.0288
3,34.5947,39.7416,27.9019,0.0,25.4018,10.943,29.94,27.8238,27.188,30.1027,27.8517,11.532,11.5587,20.4583,29.4255,11.6744,8.1185,7.9817,21.5134,0.8428,0.5913,0.0761,0.2612,0.3322,2.2679,3.7665,32.0064,17.3191,35.642,4.6,41.512,38.8496,27.2286,28.8204,24.6818,23.6477
4,50.6635,50.2798,51.1332,27.3975,0.0,17.9462,51.2335,51.9955,27.9382,5.4233,5.5143,3.3659,4.1598,51.9208,51.9955,11.4868,7.2067,7.3294,6.0522,0.7603,0.4685,0.0565,0.2805,0.3193,8.5342,5.5538,51.9913,52.0,51.9276,11.3,43.0932,37.1115,37.1968,40.2384,22.971,10.7284
5,39.624,47.7844,35.6567,40.6695,36.2299,0.0,44.3395,21.9167,37.6728,41.2953,39.1793,19.9656,19.9722,20.9359,30.2725,20.4617,15.2726,15.3518,32.0507,2.3848,1.7154,0.2713,0.8538,1.0656,3.6992,9.2768,23.5792,29.4836,34.7663,7.1799,45.3142,41.9138,43.2603,43.8089,42.077,31.9395
6,36.4854,40.6287,27.7452,19.2524,2.624,8.3621,0.0,27.0589,1.1257,3.2581,2.9088,0.6602,0.7337,18.9111,28.1317,0.0882,0.0627,0.0326,21.2325,0.0,0.0,0.0,0.0,0.0,1.8975,3.3713,30.8752,23.2883,29.8242,0.6341,11.5509,11.6613,7.6481,30.083,24.7907,1.0758
7,35.9692,31.1558,26.9929,25.4097,3.0044,31.9832,26.2758,0.0,0.0,2.9998,3.0052,2.3253,1.5314,30.2967,35.4459,1.3377,1.4146,0.9137,51.8969,0.2447,0.3633,1.1818,1.1408,1.1144,4.0608,49.5373,31.2562,52.7907,5.1216,6.6948,0.2661,1.3193,3.3193,55.0,54.5684,3.0245
8,54.9898,53.1408,53.9749,24.6632,24.5592,16.052,53.7208,55.0,0.0,30.7576,27.648,11.0964,10.4932,54.8929,49.125,1.753,1.7032,1.8081,3.416,2.677,2.6747,2.8636,2.8715,2.8978,3.2288,3.0988,51.57,55.0,53.3643,6.128,38.4573,44.0548,50.606,55.0,55.0,26.8528
9,51.2891,50.4628,50.966,22.4941,5.8609,12.9103,50.5425,52.0,21.7785,0.0,5.7526,2.6828,3.4707,51.9208,51.9697,7.6425,4.4162,4.3968,5.6438,0.3311,0.2667,0.0079,0.1216,0.1424,8.6531,5.3845,52.0,52.0,51.8409,9.9827,40.8452,37.6966,37.6182,43.0315,28.3396,7.9756
10,50.9515,50.4821,51.1112,24.903,5.7457,15.0697,50.9368,51.9948,24.5097,5.5364,0.0,2.9856,3.8721,51.9208,51.9869,9.2651,5.6599,5.6326,5.8792,0.5361,0.2884,0.0583,0.1365,0.1799,8.6106,5.4158,52.0,52.0,51.8934,10.6396,42.2436,37.0054,37.9308,41.5269,25.3514,9.3763
11,52.5665,53.9424,28.8718,41.736,33.6381,33.8976,53.9616,52.6558,6.0323,37.6292,35.8653,0.0,4.4227,44.6043,54.0,3.4714,2.7601,2.7572,9.4224,1.8484,1.6971,2.3115,2.5452,2.6095,7.7337,6.84,52.8438,53.9953,35.5477,12.655,14.488,14.3662,52.7528,53.2846,53.9951,27.9884
12,53.4501,53.952,35.5109,41.7456,30.0347,33.8784,53.8944,53.4595,6.4521,33.6788,31.4088,4.0687,0.0,48.4397,54.0,3.5468,2.7504,2.7805,9.192,2.5016,2.4375,3.1753,3.306,3.5256,7.7443,6.9696,53.4783,54.0,41.3802,14.1597,19.1934,18.7432,52.008,52.5937,53.9951,26.1691
